tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
13,1,20,320,18,160.0,1.0,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,x,0830-1630,0830-1630,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x,x,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,x
14,1,20,320,19,160.0,1.0,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x
15,1,20,320,19,160.0,1.0,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,x,0900-1700,0900-1700,0900-1700,0900-1700,0900-1700,x,0900-1700,0900-1700,0900-1700,0900-1700,x,0900-1700,x
16,1,20,320,20,160.0,1.0,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x
17,1,20,320,20,160.0,1.0,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,0930-1730,x,x,0930-1730,0930-1730,0930-1730,0930-1730,x,0930-1730
18,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,x
19,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x
20,1,20,320,21,160.0,1.0,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,x,1000-1800,1000-1800,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,1000-1800,x,1000-1800,1000-1800,x
21,1,20,320,22,160.0,1.0,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,1030-1830,1030-1830,1030-1830,x,1030-1830,1030-1830,x
22,1,20,320,22,160.0,1.0,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,1030-1830,1030-1830,1030-1830,x,1030-1830,1030-1830,x,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,1030-1830,1030-1830,1030-1830,1030-1830,1030-1830,x,x
23,1,20,320,23,160.0,1.0,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x
24,1,20,320,23,160.0,1.0,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x,x,1100-1900,1100-1900,1100-1900,1100-1900,1100-1900,x
25,1,20,320,24,160.0,1.0,x,1130-1930,1130-1930,1130-1930,1130-1930,1130-1930,x,x,1130-1930,1130-1930,1130-1930,1130-1930,1130-1930,x,x,1130-1930,1130-1930,1130-1930,1130-1930,1130-1930,x,1130-1930,x,1130-1930,1130-1930,1130-1930,1130-1930,x
26,1,20,320,25,160.0,1.0,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000
27,1,20,320,25,160.0,1.0,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x,x,1200-2000,1200-2000,1200-2000,1200-2000,1200-2000,x
28,1,20,320,27,160.0,1.0,x,1300-2100,1300-2100,1300-2100,1300-2100,1300-2100,x,x,1300-2100,1300-2100,1300-2100,1300-2100,1300-2100,x,x,1300-2100,1300-2100,1300-2100,1300-2100,1300-2100,x,x,1300-2100,1300-2100,1300-2100,1300-2100,1300-2100,x
29,1,20,320,28,160.0,1.0,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,x,1330-2130,1330-2130,1330-2130,1330-2130,1330-2130,x,x,1330-2130,1330-2130,x,1330-2130,1330-2130,1330-2130
30,1,20,320,29,160.0,1.0,1400-2200,1400-2200,1400-2200,x,1400-2200,1400-2200,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x
31,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230
32,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,x,1430-2230,1430-2230,1430-2230
33,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,x,1430-2230,1430-2230
34,1,20,320,30,160.0,1.0,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x
35,1,20,320,31,160.0,1.0,x,1500-2300,1500-2300,1500-2300,1500-2300,1500-2300,x,1500-2300,x,1500-2300,1500-2300,1500-2300,1500-2300,x,x,1500-2300,1500-2300,1500-2300,1500-2300,1500-2300,x,x,1500-2300,1500-2300,1500-2300,1500-2300,1500-2300,x
36,1,20,320,32,160.0,1.0,1530-2330,1530-2330,1530-2330,1530-2330,x,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
37,1,20,320,32,160.0,1.0,1530-2330,1530-2330,1530-2330,1530-2330,x,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
38,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x
39,1,20,320,32,160.0,1.0,1530-2330,1530-2330,1530-2330,1530-2330,x,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330,x,x,x,1530-2330,1530-2330,1530-2330,1530-2330,1530-2330
40,1,20,320,43,160.0,1.0,x,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,x,2100-0500,2100-0500,2100-0500,2100-0500,x,2100-0500,x,x,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,x,x,2100-0500,2100-0500,2100-0500,2100-0500,2100-0500,x
41,1,20,320,45,160.0,1.0,x,2200-0600,2200-0600,2200-0600,2200-0600,2200-0600,x,2200-0600,2200-0600,2200-0600,x,2200-0600,2200-0600,x,x,2200-0600,2200-0600,2200-0600,2200-0600,2200-0600,x,x,2200-0600,2200-0600,2200-0600,2200-0600,2200-0600,x
42,1,20,320,46,160.0,1.0,x,2230-0630,2230-0630,2230-0630,2230-0630,2230-0630,x,x,2230-0630,2230-0630,2230-0630,2230-0630,2230-0630,x,x,2230-0630,2230-0630,2230-0630,2230-0630,2230-0630,x,x,x,2230-0630,2230-0630,2230-0630,2230-0630,2230-0630
43,1,20,320,48,160.0,1.0,x,2330-0730,2330-0730,2330-0730,2330-0730,2330-0730,x,x,2330-0730,2330-0730,x,2330-0730,2330-0730,2330-0730,x,2330-0730,2330-0730,2330-0730,2330-0730,2330-0730,x,x,2330-0730,2330-0730,2330-0730,2330-0730,2330-0730,x
